74,26,0,0,0,0,0,0,27,73,0,0,0,0,0,0,47,53,0,0,0,0,0,0,0,0,-1
67,33,0,0,0,0,0,0,22,78,0,0,0,0,0,0,40,60,0,0,0,0,0,0,10,0,-1
74,26,0,0,0,0,0,0,14,86,0,0,0,0,0,0,49,51,0,0,0,0,0,0,20,0,-1
76,24,0,0,0,0,0,0,18,82,0,0,0,0,0,0,49,51,0,0,0,0,0,0,30,0,-1
67,33,0,0,0,0,0,0,3,97,0,0,0,0,0,0,29,71,0,0,0,0,0,0,40,0,-1
56,44,0,0,0,0,0,0,14,86,0,0,0,0,0,0,33,67,0,0,0,0,0,0,50,0,-1
73,27,0,0,0,0,0,0,2,98,0,0,0,0,0,0,36,64,0,0,0,0,0,0,60,0,-1
58,42,0,0,0,0,0,0,2,98,0,0,0,0,0,0,8,92,0,0,0,0,0,0,70,0,-1
76,24,0,0,0,0,0,0,6,94,0,0,0,0,0,0,25,75,0,0,0,0,0,0,80,0,-1
47,53,0,0,0,0,0,0,0,98,2,0,0,0,0,0,20,80,0,0,0,0,0,0,90,0,-1
27,73,0,0,0,0,0,0,0,95,5,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,-1
13,87,0,0,0,0,0,0,0,86,14,0,0,0,0,0,0,99,1,0,0,0,0,0,110,0,-1
0,96,4,0,0,0,0,0,0,74,26,0,0,0,0,0,0,99,1,0,0,0,0,0,120,0,-1
0,48,47,5,0,0,0,0,0,13,87,0,0,0,0,0,0,83,17,0,0,0,0,0,130,0,-1
0,37,57,6,0,0,0,0,0,4,96,0,0,0,0,0,0,64,36,0,0,0,0,0,140,0,-1
0,2,47,50,1,0,0,0,0,0,97,3,0,0,0,0,0,32,68,0,0,0,0,0,150,0,-1
0,1,12,65,22,0,0,0,0,0,55,45,0,0,0,0,0,22,78,0,0,0,0,0,160,0,-1
0,0,0,9,91,0,0,0,0,0,3,97,0,0,0,0,0,0,100,0,0,0,0,0,170,0,-1
0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,180,0,-1
0,0,0,26,74,0,0,0,0,0,17,83,0,0,0,0,0,0,100,0,0,0,0,0,190,0,-1
0,0,0,66,20,13,1,0,0,0,79,21,0,0,0,0,0,3,97,0,0,0,0,0,200,0,-1
0,0,0,0,0,0,3,97,0,0,0,3,7,10,0,80,0,0,4,2,5,1,4,84,210,0,-1
0,0,0,0,0,0,6,94,0,0,0,0,0,10,26,64,0,0,0,0,7,30,21,42,220,0,-1
0,0,0,0,0,10,53,37,0,0,0,0,35,45,2,18,0,0,0,22,51,2,3,22,230,0,-1
0,0,0,0,0,0,2,98,0,0,0,0,0,8,11,81,0,0,0,0,6,8,10,76,240,0,-1
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,99,250,0,-1
0,0,3,3,3,4,3,84,0,0,2,5,2,1,2,88,0,0,4,5,3,2,2,84,260,0,-1
0,2,5,5,6,5,8,69,0,0,5,7,6,7,6,69,0,3,7,5,6,5,2,72,270,0,-1
0,0,1,3,19,20,21,36,0,0,6,2,41,16,13,22,0,3,6,10,32,17,7,25,280,0,-1
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,290,0,-1
0,0,1,10,11,27,3,48,0,0,0,17,25,8,7,43,0,0,8,18,17,14,3,40,300,0,-1
0,0,0,0,1,6,7,86,0,0,0,0,12,1,19,68,0,0,0,8,6,5,10,71,310,0,-1
11,4,8,22,21,11,6,17,9,8,3,34,26,6,4,10,13,9,11,32,18,1,3,13,320,0,-1
100,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,330,0,-1
100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,340,0,-1
99,1,0,0,0,0,0,0,92,8,0,0,0,0,0,0,91,8,1,0,0,0,0,0,350,0,-1
96,4,0,0,0,0,0,0,92,5,3,0,0,0,0,0,95,3,2,0,0,0,0,0,360,0,-1
93,3,4,0,0,0,0,0,92,6,2,0,0,0,0,0,91,6,3,0,0,0,0,0,370,0,-1
77,23,0,0,0,0,0,0,59,30,10,1,0,0,0,0,68,24,6,2,0,0,0,0,380,0,-1
63,33,3,1,0,0,0,0,35,56,9,0,0,0,0,0,42,45,9,4,0,0,0,0,390,0,-1
22,74,4,0,0,0,0,0,7,74,17,2,0,0,0,0,10,68,17,3,2,0,0,0,400,0,-1
64,36,0,0,0,0,0,0,29,62,8,1,0,0,0,0,43,52,5,0,0,0,0,0,410,0,-1
77,18,5,0,0,0,0,0,57,33,10,0,0,0,0,0,71,21,8,0,0,0,0,0,420,0,-1
69,31,0,0,0,0,0,0,53,41,6,0,0,0,0,0,66,28,6,0,0,0,0,0,430,0,-1
89,9,2,0,0,0,0,0,83,15,2,0,0,0,0,0,91,7,1,1,0,0,0,0,440,0,-1
75,22,1,1,1,0,0,0,55,27,15,3,0,0,0,0,57,24,17,2,0,0,0,0,450,0,-1
34,60,6,0,0,0,0,0,11,64,24,1,0,0,0,0,18,62,19,1,0,0,0,0,460,0,-1
92,8,0,0,0,0,0,0,58,41,1,0,0,0,0,0,72,28,0,0,0,0,0,0,470,0,-1
41,27,19,8,3,1,0,1,29,22,13,11,10,11,4,0,31,15,20,11,7,7,4,5,480,0,-1
85,9,6,0,0,0,0,0,69,23,3,1,0,2,2,0,80,16,1,0,0,0,0,3,490,0,-1
